distance(m),height of target(cm),height of cameras(cm),baseline(cm),,,,,new bois,distance(m),height of target(cm),height of cameras(cm),baseline(cm)
3,,13.4,43.6,1 to 6,,,,0 to 10,2.5,93,13.4,43.6
3,,,,,,,,11 to 17,3,90,,
3,,,,,,,,18 to 29,3,37,,
3,,,,,,,,30 to 38,3,18,,
3,,,,,,,,39 to 46,4,18,,
3,38,,,,,,,47 to 52,4,31,,
3,93,,,7 to 23,,,,53 to 60,5,16,,
2.5,93,,,,,,,61 to 66,5,47,,
,,,,,,,,67 to 75,6,16,,
,,,,,,,,76 to 81,2.5,15,,
,,,,,,,,82 to 84,3,14,,
,,,,,,,,85 to 88,3,89,,
,,,,,,,,89 to 92,4,89,,
,,,,,,,,93 to 95,5,33,,
,,,,,,,,96 to 99,6,33,,
,,,,,,,,100 to 102,6,89,,
,,,,,,,,103 to 105,5,89,,
,,,,,,,,106 to 108,7,33,,
,,,,,,,,109 to 111,7,89,,
,,,,,,,,112 to 115,8,89,,
,,,,,,,,116 to 119,9,33,,
,,,,,,,,120 to 128,9,89,,
,,,,,,,,129 to 132,10,89,,
,,,,,,,,133 to 137,10,33,,
,,,,,,,,138 to 143,8,12,,
